,Label
132650,1
1565742,1
2278070,1
2382603,1
1184782,0
2372982,1
999682,0
160922,1
449926,1
140907,1
1130255,0
2346646,1
1847465,0
61814,1
2231837,1
2442920,1
90690,1
93008,1
1767999,0
123317,1
2457421,0
2289961,1
2277448,1
2467739,1
447740,1
2681720,0
2109823,0
2418569,1
1413820,0
2588893,0
2262451,1
2357080,1
426448,1
181055,1
1392795,0
1893927,1
2127986,0
1961528,0
490645,0
2406742,1
702790,0
160843,1
2314910,1
2069343,0
2197917,0
235397,0
1789527,0
485949,0
2281139,1
2162768,0
941155,0
2233685,1
259472,0
1553398,0
1826831,0
683998,0
2331932,1
479439,1
2221064,1
2390554,1
177535,0
344864,1
2720873,1
46807,1
107136,1
665904,0
801313,0
145652,1
2327889,1
1718604,1
1282559,0
2371036,1
2254737,1
2438114,1
838370,0
2742560,0
1473408,0
2439677,1
930520,0
664216,0
2010352,0
1678926,0
2418645,1
2456923,1
780566,0
377115,1
1660731,0
2409797,1
92682,1
747437,0
92018,1
1511194,0
790673,0
366628,1
2814773,0
352913,1
2797634,1
2679129,0
72928,1
2578402,0
1586258,0
212126,0
2247149,1
71503,1
2392485,0
1649942,0
2270531,1
2724740,1
2565779,0
1231997,0
448058,1
2346468,1
773522,0
372432,1
411619,1
1793328,0
1682244,0
354433,1
2285503,1
2514553,0
140405,1
212470,0
2410711,1
1753002,1
2354059,1
106349,1
1647051,0
2380271,1
2437137,1
424685,1
2442561,1
2343406,1
2189680,0
608584,0
958229,0
95570,0
2655581,0
188430,1
493963,0
2376597,1
1720962,0
962457,0
2227395,1
2316497,1
2257002,1
2439026,1
2739352,0
323657,1
145618,1
2382019,1
473796,1
1037985,0
1986474,0
2501804,0
89066,1
282840,0
431819,1
2449701,0
2048043,0
2439921,1
1656890,0
686857,0
1270332,0
2706233,1
1985459,1
1733341,0
966572,0
9666,0
2301318,1
2805850,1
500959,1
391319,1
2411644,1
2464429,1
127761,1
29398,1
2674139,0
843800,0
2179163,0
865391,0
2247851,1
1825481,0
2498746,0
2276578,1
2228916,1
714604,0
2519188,0
2471800,0
1569644,0
832252,0
2682094,0
45682,1
1287021,0
1214092,0
2734337,0
2483971,0
432503,1
411332,1
2080747,0
33354,1
400493,1
901362,0
2364520,1
2281514,1
662691,0
2586597,0
1796347,0
2280978,1
74981,1
2337991,1
2707910,0
449485,1
2190831,1
428596,1
716425,0
1370594,0
2234055,1
365831,1
330625,1
1133533,0
314544,1
2242463,1
430142,1
2608492,0
29990,1
2311095,1
2338556,1
324216,1
474233,1
665499,0
80551,1
2269966,1
1099611,0
2329314,1
1291611,0
2466032,1
2577789,0
2436238,1
436758,1
1387683,0
1702354,0
257462,0
540029,0
685386,0
2390741,1
1331356,0
1140912,0
1353058,0
2337764,1
1631468,0
1220156,0
474802,1
1773147,0
71592,1
2440456,1
2315474,0
738367,0
645093,0
125206,1
183292,1
1993985,0
2402504,1
2359487,1
148139,0
2331272,1
403504,1
528582,0
142835,1
2806233,0
492878,1
972992,0
2429334,1
998508,0
11798,0
130819,1
2225532,1
387542,1
2331614,1
278118,0
1927397,0
2238200,1
1707389,0
1250894,0
1992915,0
363842,1
1893542,1
661385,0
1640707,0
1624534,0
580825,0
1840545,0
627517,0
1944835,0
2102856,0
2368922,1
737619,0
820035,0
325187,1
191110,1
1356403,0
81288,1
2396633,1
2428901,1
862253,0
2608147,0
660975,0
354162,1
398717,1
1434336,0
357786,1
2285350,1
2331496,1
402906,1
2534204,0
432671,1
1297010,0
171798,1
2275135,1
946024,0
2398570,1
704297,0
1899627,1
2082636,0
486535,0
2253485,1
2274428,1
504525,1
2320549,1
2432288,1
2116385,0
301922,0
24945,1
275075,0
1734405,0
2461381,1
93410,1
2824086,0
2275609,1
661067,0
1923342,0
2256282,1
1365630,0
2611609,0
1776528,0
2534808,0
251328,0
30577,1
91957,1
2322153,1
2188302,1
2432525,1
1668753,0
716153,0
938652,0
2280568,1
2341837,1
636004,0
342983,1
22975,1
453406,1
2251864,1
294153,0
503247,1
90817,1
2087409,0
1083627,0
2370132,1
1416193,0
730640,0
153913,1
1545892,0
164440,0
1384837,0
2025359,0
319804,1
855767,0
2781187,0
2302047,1
815162,0
1610445,0
2384267,1
77340,1
619950,1
2316339,1
2417918,1
2466444,1
2368651,1
